english sentence, nepali sentence
hello,नमस्ते 
good morning,शुभ प्रभात 
good afternoon,शुभ दिउँसो 
good evening,शुभ साँझ 
nice to meet you,तपाईंलाई भेटेर खुशी लाग्यो 
thank you,धन्यवाद 
you're welcome,स्वागत छ 
excuse me,क्षमा पर्नुहोस् 
i am sorry,माफ गर्नुहोला 
yes,हो 
no,होइन 
can you help me?,के तपाईं मलाई सहयोग गर्न सक्नुहुन्छ? 
i don't understand,मलाई सम्झिन छैन 
could you repeat that?,के तपाईं त्यसलाई फेरि बोलाउन सक्नुहुन्छ? 
do you speak english?,के तपाईं अङ्ग्रेजी बोल्नुहुन्छ? 
i speak a little english,मलाई थोडै अङ्ग्रेजी आउछ 
i am hungry,मलाई भोक लाग्यो 
where is the bathroom?,शौचालय कहाँ छ? 
i need help,मलाई सहयोग चाहिए 
how much does it cost?,यो कति माग्छ? 
goodbye,नमस्ते 
see you later,पछि भेटौं 
have a nice day,राम्रो दिन छविदेऊ 
i am happy,मलाई खुशी लाग्यो 
i am sad,मलाई दुःख लाग्यो 
i am tired,मलाई थकेको छ 
i am excited,मलाई उत्साहित छ 
now,अब 
today,आज 
tomorrow,भोलि 
yesterday,हिजो 
morning,बिहान 
afternoon,दिउँसो 
evening,साँझ 
night,रात 
please,कृपया 
i want to go home,म घर जान चाहन्छु 
i eat rice,म भात खान्छु । 
i'm feeling hungry,मलाई भोक लागेको छ । 
you are a fool,तिमी मुर्ख हौ। 
