english sentence,spanish sentence
hello,hola
good morning,buenos días
good afternoon,buenas tardes
good evening,buenas noches
nice to meet you,mucho gusto
thank you,gracias
you're welcome,de nada
excuse me,disculpe
i am sorry,lo siento
yes,sí
no,no
can you help me,¿puede ayudarme?
i don't understand,no entiendo
could you repeat that,¿podría repetir eso?
do you speak english,¿hablas inglés?
i speak a little english,hablo un poco de inglés
i am hungry,tengo hambre
where is the bathroom?,¿dónde está el baño?
i need help,necesito ayuda
how much does it cost?,¿cuánto cuesta?
goodbye,adiós
see you later,hasta luego
have a nice day,que tenga un buen día
i am happy,estoy feliz
i am sad,estoy triste
i am tired,estoy cansado/a
i am excited,estoy emocionado/a
now,ahora
today,hoy
tomorrow,mañana
yesterday,ayer
morning,mañana
afternoon,tarde
evening,noche
night,noche
hello!,¡hola!
i love you,te amo
brother,hermano
please,por favor
i want to go home,quiero ir a casa
i eat rice,yo como arroz
i'm feeling hungry,tengo hambre
you are a fool,eres un tonto
slowly,despacito
