english sentence, german sentence
hello,hallo
good morning,guten morgen
good afternoon,guten tag
good evening,guten abend
nice to meet you,schön sie kennenzulernen
thank you,danke
you're welcome,bitte
excuse me,entschuldigung
i am sorry,es tut mir leid
yes,ja
no,nein
can you help me?,können sie mir helfen
i don't understand,ich verstehe nicht
could you repeat that?,könnten sie das wiederholen
do you speak english?,sprechen sie englisch
i speak a little english,ich spreche ein wenig englisch
i am hungry,ich habe hunger
where is the bathroom?,wo ist die toilette
i need help,ich brauche hilfe
how much does it cost?,wie viel kostet es
goodbye,auf wiedersehen
see you later,bis später
have a nice day,einen schönen tag noch
i am happy,ich bin glücklich
i am sad,ich bin traurig
i am tired,ich bin müde
i am excited,ich bin aufgeregt
now,jetzt
today,heute
tomorrow,morgen
yesterday,gestern
morning,morgen
afternoon,nachmittag
evening,abend
night,nacht
please,bitte
i want to go home,ich möchte nach hause gehen
i eat rice,ich esse reis
i'm feeling hungry,ich habe hunger
you are a fool,du bist ein narr
